,elevation edges,length
740,"(0.072, 0.128)","(0.088, 0.112)"
741,"(0.072, 0.128)","(0.088, 0.112)"
742,"(0.072, 0.128)","(0.088, 0.112)"
743,"(0.072, 0.128)","(0.088, 0.112)"
744,"(0.072, 0.072)","(0.088, 0.088)"
745,"(0.072, 0.072)","(0.088, 0.088)"
746,"(0.072, 0.072)","(0.088, 0.088)"
747,"(0.072, 0.072)","(0.088, 0.088)"
748,"(0.072, 0.072)","(0.088, 0.088)"
749,"(0.072, 0.072)","(0.088, 0.088)"
750,"(0.072, 0.128)","(0.088, 0.112)"
751,"(0.072, 0.128)","(0.088, 0.112)"
752,"(0.072, 0.128)","(0.088, 0.112)"
753,"(0.072, 0.128)","(0.088, 0.112)"
754,"(0.072, 0.1)","(0.088, 0.1)"
755,"(0.072, 0.128)","(0.088, 0.112)"
756,"(0.072, 0.128)","(0.088, 0.112)"
757,"(0.072, 0.128)","(0.088, 0.112)"
758,"(0.072, 0.128)","(0.088, 0.112)"
759,"(0.072, 0.128)","(0.088, 0.112)"
760,"(0.072, 0.128)","(0.088, 0.112)"
761,"(0.072, 0.128)","(0.088, 0.112)"
762,"(0.072, 0.128)","(0.088, 0.112)"
763,"(0.072, 0.128)","(0.088, 0.112)"
764,"(0.072, 0.128)","(0.088, 0.112)"
765,"(0.072, 0.128)","(0.088, 0.112)"
