,elevation edges,length
388,"(0.072, 0.128)","(0.088, 0.112)"
389,"(0.072, 0.072)","(0.088, 0.088)"
390,"(0.072, 0.072)","(0.088, 0.088)"
391,"(0.072, 0.072)","(0.088, 0.088)"
392,"(0.072, 0.072)","(0.088, 0.088)"
393,"(0.072, 0.072)","(0.088, 0.088)"
394,"(0.072, 0.072)","(0.088, 0.088)"
395,"(0.072, 0.072)","(0.088, 0.088)"
396,"(0.072, 0.072)","(0.088, 0.088)"
397,"(0.072, 0.072)","(0.088, 0.088)"
398,"(0.072, 0.072)","(0.088, 0.088)"
399,"(0.072, 0.072)","(0.088, 0.088)"
400,"(0.072, 0.072)","(0.088, 0.088)"
401,"(0.072, 0.072)","(0.088, 0.088)"
402,"(0.072, 0.072)","(0.088, 0.088)"
403,"(0.072, 0.072)","(0.088, 0.088)"
404,"(0.072, 0.072)","(0.088, 0.088)"
405,"(0.072, 0.072)","(0.088, 0.088)"
406,"(0.072, 0.072)","(0.088, 0.088)"
407,"(0.072, 0.072)","(0.088, 0.088)"
408,"(0.072, 0.072)","(0.088, 0.088)"
409,"(0.072, 0.072)","(0.088, 0.088)"
410,"(0.072, 0.072)","(0.088, 0.088)"
411,"(0.072, 0.072)","(0.088, 0.088)"
412,"(0.072, 0.072)","(0.088, 0.088)"
413,"(0.072, 0.072)","(0.088, 0.088)"
414,"(0.072, 0.072)","(0.088, 0.088)"
415,"(0.072, 0.072)","(0.088, 0.088)"
416,"(0.072, 0.072)","(0.088, 0.088)"
417,"(0.072, 0.072)","(0.088, 0.088)"
418,"(0.072, 0.072)","(0.088, 0.088)"
419,"(0.072, 0.072)","(0.088, 0.088)"
420,"(0.072, 0.072)","(0.088, 0.088)"
421,"(0.072, 0.072)","(0.088, 0.088)"
422,"(0.072, 0.072)","(0.088, 0.088)"
423,"(0.072, 0.072)","(0.088, 0.088)"
424,"(0.072, 0.072)","(0.088, 0.088)"
425,"(0.072, 0.072)","(0.088, 0.088)"
426,"(0.072, 0.072)","(0.088, 0.088)"
427,"(0.072, 0.072)","(0.088, 0.088)"
428,"(0.072, 0.072)","(0.088, 0.088)"
429,"(0.072, 0.072)","(0.088, 0.088)"
430,"(0.072, 0.072)","(0.088, 0.088)"
431,"(0.072, 0.072)","(0.088, 0.088)"
432,"(0.072, 0.072)","(0.088, 0.088)"
433,"(0.072, 0.072)","(0.088, 0.088)"
434,"(0.072, 0.072)","(0.088, 0.088)"
435,"(0.072, 0.072)","(0.088, 0.088)"
