,elevation edges,length
636,"(14.17706994047272, 17.090237131163125)","(12.40493619791363, 15.178857489767735)"
637,"(14.17706994047272, 17.090237131163125)","(12.40493619791363, 15.178857489767735)"
638,"(14.17706994047272, 17.090237131163125)","(12.40493619791363, 15.178857489767735)"
639,"(14.17706994047272, 17.090237131163125)","(12.40493619791363, 15.178857489767735)"
640,"(14.17706994047272, 17.090237131163125)","(12.40493619791363, 15.178857489767735)"
641,"(14.17706994047272, 17.090237131163125)","(12.40493619791363, 15.178857489767735)"
642,"(14.17706994047272, 17.090237131163125)","(12.40493619791363, 15.178857489767735)"
643,"(14.17706994047272, 17.090237131163125)","(12.40493619791363, 15.178857489767735)"
644,"(14.17706994047272, 17.090237131163125)","(12.40493619791363, 15.178857489767735)"
645,"(14.17706994047272, 17.090237131163125)","(12.40493619791363, 15.178857489767735)"
646,"(14.17706994047272, 17.090237131163125)","(12.40493619791363, 15.178857489767735)"
647,"(14.17706994047272, 17.090237131163125)","(12.40493619791363, 15.178857489767735)"
648,"(14.17706994047272, 17.090237131163125)","(12.40493619791363, 15.178857489767735)"
649,"(14.17706994047272, 17.090237131163125)","(12.40493619791363, 15.178857489767735)"
650,"(14.17706994047272, 17.090237131163125)","(12.40493619791363, 15.178857489767735)"
651,"(14.17706994047272, 17.090237131163125)","(12.40493619791363, 15.178857489767735)"
652,"(14.17706994047272, 17.090237131163125)","(12.40493619791363, 15.178857489767735)"
653,"(14.17706994047272, 17.090237131163125)","(12.40493619791363, 15.178857489767735)"
654,"(14.17706994047272, 17.090237131163125)","(12.40493619791363, 15.178857489767735)"
655,"(14.17706994047272, 17.090237131163125)","(12.40493619791363, 15.178857489767735)"
656,"(14.17706994047272, 17.090237131163125)","(12.40493619791363, 15.178857489767735)"
657,"(14.17706994047272, 17.090237131163125)","(12.40493619791363, 15.178857489767735)"
658,"(14.17706994047272, 17.090237131163125)","(12.40493619791363, 15.178857489767735)"
659,"(14.17706994047272, 17.090237131163125)","(12.40493619791363, 15.178857489767735)"
660,"(14.17706994047272, 17.090237131163125)","(12.40493619791363, 15.178857489767735)"
661,"(14.17706994047272, 17.090237131163125)","(12.40493619791363, 15.178857489767735)"
662,"(14.17706994047272, 17.090237131163125)","(12.40493619791363, 15.178857489767735)"
663,"(14.17706994047272, 17.090237131163125)","(12.40493619791363, 15.178857489767735)"
664,"(14.17706994047272, 17.090237131163125)","(12.40493619791363, 15.178857489767735)"
665,"(14.17706994047272, 17.090237131163125)","(12.40493619791363, 15.178857489767735)"
666,"(14.17706994047272, 17.090237131163125)","(12.40493619791363, 15.178857489767735)"
667,"(14.17706994047272, 17.090237131163125)","(12.40493619791363, 15.178857489767735)"
668,"(14.17706994047272, 17.090237131163125)","(12.40493619791363, 15.178857489767735)"
669,"(14.17706994047272, 17.090237131163125)","(12.40493619791363, 15.178857489767735)"
670,"(14.17706994047272, 17.090237131163125)","(12.40493619791363, 15.178857489767735)"
671,"(14.17706994047272, 17.090237131163125)","(12.40493619791363, 15.178857489767735)"
672,"(14.17706994047272, 17.090237131163125)","(12.40493619791363, 15.178857489767735)"
673,"(14.17706994047272, 17.090237131163125)","(12.40493619791363, 15.178857489767735)"
674,"(14.17706994047272, 17.090237131163125)","(12.40493619791363, 15.178857489767735)"
675,"(14.17706994047272, 17.090237131163125)","(12.40493619791363, 15.178857489767735)"
676,"(14.17706994047272, 17.090237131163125)","(12.40493619791363, 15.178857489767735)"
677,"(14.17706994047272, 17.090237131163125)","(12.40493619791363, 15.178857489767735)"
678,"(14.17706994047272, 17.090237131163125)","(12.40493619791363, 15.178857489767735)"
679,"(14.17706994047272, 17.090237131163125)","(12.40493619791363, 15.178857489767735)"
680,"(14.17706994047272, 17.090237131163125)","(12.40493619791363, 15.178857489767735)"
681,"(14.17706994047272, 17.090237131163125)","(12.40493619791363, 15.178857489767735)"
682,"(14.17706994047272, 17.090237131163125)","(12.40493619791363, 15.178857489767735)"
683,"(14.17706994047272, 17.090237131163125)","(12.40493619791363, 15.178857489767735)"
684,"(14.17706994047272, 17.090237131163125)","(12.40493619791363, 15.178857489767735)"
685,"(14.17706994047272, 17.090237131163125)","(12.40493619791363, 15.178857489767735)"
686,"(14.17706994047272, 17.090237131163125)","(12.40493619791363, 15.178857489767735)"
687,"(14.17706994047272, 17.090237131163125)","(12.40493619791363, 15.178857489767735)"
688,"(14.17706994047272, 17.090237131163125)","(12.40493619791363, 15.178857489767735)"
689,"(14.17706994047272, 17.090237131163125)","(12.40493619791363, 15.178857489767735)"
690,"(14.17706994047272, 17.090237131163125)","(12.40493619791363, 15.178857489767735)"
691,"(14.17706994047272, 17.090237131163125)","(12.40493619791363, 15.178857489767735)"
692,"(14.17706994047272, 17.090237131163125)","(12.40493619791363, 15.178857489767735)"
693,"(14.17706994047272, 17.090237131163125)","(12.40493619791363, 15.178857489767735)"
694,"(14.17706994047272, 17.090237131163125)","(12.40493619791363, 15.178857489767735)"
695,"(14.17706994047272, 17.090237131163125)","(12.40493619791363, 15.178857489767735)"
696,"(14.17706994047272, 17.090237131163125)","(12.40493619791363, 15.178857489767735)"
697,"(14.17706994047272, 17.090237131163125)","(12.40493619791363, 15.178857489767735)"
698,"(14.17706994047272, 17.090237131163125)","(12.40493619791363, 15.178857489767735)"
699,"(14.17706994047272, 17.090237131163125)","(12.40493619791363, 15.178857489767735)"
